#STRIP_ID,Detector,Side,Strip,TAC_calibration,TAC_calibration_error,TAC_offset,TAC_offset_error
64,0,0,32,0.4556566750938984,0.0007846479435844,-643.8666745290292,7.78691081645562
65,0,0,33,0.4551726820109966,0.0006708572329563,-609.9839497922065,6.615930893351631
66,0,0,34,0.4818134722463463,0.000527972015931,-714.994511050921,5.031379563293471
67,0,0,35,0.4544533503154776,0.0002934196644989,-529.8045186858408,2.847709035133625
68,0,0,36,0.4647144884639498,0.0004002722008746,-530.5192605159508,3.799562575520689
69,0,0,37,0.4603527577473966,0.0002147976565663,-503.426879515844,2.045937771361395
70,0,0,38,0.4635865877857097,0.0005945924865587,-538.2366282161117,5.667530767904252
71,0,0,39,0.4640946156660619,0.0005818633803437,-553.4389289274613,5.5587345949546805
72,0,0,40,0.4740094158910402,0.0007676136643285,-588.3882187813152,7.235143819347082
73,0,0,41,0.4588163921655697,0.0008146034204871,-619.9383714702462,7.987008593871672
74,0,0,42,0.4683102802037738,0.0009220712367566,-688.7432253624563,8.989824788534012
75,0,0,43,0.4550830202550772,0.0010725417362546,-682.7751767580162,10.747035058895284
76,0,0,44,0.4729898999233862,0.0007682759472586,-652.1583456758632,7.358189885250253
77,0,0,45,0.4639717986814496,0.0008453900311533,-579.3574503154613,8.124540807493075
78,0,0,46,0.4687092115107836,0.0007124219876833,-560.4864460634938,6.749455046636979
79,0,0,47,0.4622128420895226,0.0008813866757013,-629.9161686965841,8.596890666878487
80,0,0,48,0.4626692890387931,0.0005882890446525,-517.8413011279004,5.593254686396041
81,0,0,49,0.4590847592446698,0.0012238006427074,-640.7537986199435,12.046297290908168
82,0,0,50,0.4493503783200882,0.0006468371431521,-532.2651955008856,6.352459917783231
83,0,0,51,0.4562805365314076,0.0007484276391292,-530.280450839749,7.235345442422427
84,0,0,52,0.4636255386162275,0.0009395895713373,-652.2086432792723,9.180813010742725
85,0,0,53,0.4558776995190761,0.0007950989501313,-538.4829331346806,7.707291131990754
