# DetID,Strip voltage, StripID, Shaping Offset, Coincidence Window, Disable Time, Flag-to-enable Delay, FL noise cut, Flag delay
0,l,0,2255,500,1400,100,200,200
0,l,1,2255,500,1400,100,200,200
0,l,2,2255,500,1400,100,200,200
0,l,3,2255,500,1400,100,200,200
0,l,4,2255,500,1400,100,200,200
0,l,5,2255,500,1400,100,200,200
0,l,6,2255,500,1400,100,200,200
0,l,7,2255,500,1400,100,200,200
0,l,8,2255,500,1400,100,200,200
0,l,9,2255,500,1400,100,200,200
0,l,10,2255,500,1400,100,200,200
0,l,11,2255,500,1400,100,200,200
0,l,12,2255,500,1400,100,200,200
0,l,13,2255,500,1400,100,200,200
0,l,14,2255,500,1400,100,200,200
0,l,15,2255,500,1400,100,200,200
0,l,16,2255,500,1400,100,200,200
0,l,17,2255,500,1400,100,200,200
0,l,18,2255,500,1400,100,200,200
0,l,19,2255,500,1400,100,200,200
0,l,20,2255,500,1400,100,200,200
0,l,21,2255,500,1400,100,200,200
0,l,22,2255,500,1400,100,200,200
0,l,23,2255,500,1400,100,200,200
0,l,24,2255,500,1400,100,200,200
0,l,25,2255,500,1400,100,200,200
0,l,26,2255,500,1400,100,200,200
0,l,27,2255,500,1400,100,200,200
0,l,28,2255,500,1400,100,200,200
0,l,29,2255,500,1400,100,200,200
0,l,30,2255,500,1400,100,200,200
0,l,31,2255,500,1400,100,200,200
0,l,32,2255,500,1400,100,200,200
0,l,33,2255,500,1400,100,200,200
0,l,34,2255,500,1400,100,200,200
0,l,35,2255,500,1400,100,200,200
0,l,36,2255,500,1400,100,200,200
0,l,37,2255,500,1400,100,200,200
0,l,38,2255,500,1400,100,200,200
0,l,39,2255,500,1400,100,200,200
0,l,40,2255,500,1400,100,200,200
0,l,41,2255,500,1400,100,200,200
0,l,42,2255,500,1400,100,200,200
0,l,43,2255,500,1400,100,200,200
0,l,44,2255,500,1400,100,200,200
0,l,45,2255,500,1400,100,200,200
0,l,46,2255,500,1400,100,200,200
0,l,47,2255,500,1400,100,200,200
0,l,48,2255,500,1400,100,200,200
0,l,49,2255,500,1400,100,200,200
0,l,50,2255,500,1400,100,200,200
0,l,51,2255,500,1400,100,200,200
0,l,52,2255,500,1400,100,200,200
0,l,53,2255,500,1400,100,200,200
0,l,54,2255,500,1400,100,200,200
0,l,55,2255,500,1400,100,200,200
0,l,56,2255,500,1400,100,200,200
0,l,57,2255,500,1400,100,200,200
0,l,58,2255,500,1400,100,200,200
0,l,59,2255,500,1400,100,200,200
0,l,60,2255,500,1400,100,200,200
0,l,61,2255,500,1400,100,200,200
0,l,62,2255,500,1400,100,200,200
0,l,63,2255,500,1400,100,200,200
0,l,64,2255,500,1400,100,200,200
0,h,65,2255,500,1400,100,200,200
0,h,0,2255,500,1400,100,200,200
0,h,1,2255,500,1400,100,200,200
0,h,2,2255,500,1400,100,200,200
0,h,3,2255,500,1400,100,200,200
0,h,4,2255,500,1400,100,200,200
0,h,5,2255,500,1400,100,200,200
0,h,6,2255,500,1400,100,200,200
0,h,7,2255,500,1400,100,200,200
0,h,8,2255,500,1400,100,200,200
0,h,9,2255,500,1400,100,200,200
0,h,10,2255,500,1400,100,200,200
0,h,11,2255,500,1400,100,200,200
0,h,12,2255,500,1400,100,200,200
0,h,13,2255,500,1400,100,200,200
0,h,14,2255,500,1400,100,200,200
0,h,15,2255,500,1400,100,200,200
0,h,16,2255,500,1400,100,200,200
0,h,17,2255,500,1400,100,200,200
0,h,18,2255,500,1400,100,200,200
0,h,19,2255,500,1400,100,200,200
0,h,20,2255,500,1400,100,200,200
0,h,21,2255,500,1400,100,200,200
0,h,22,2255,500,1400,100,200,200
0,h,23,2255,500,1400,100,200,200
0,h,24,2255,500,1400,100,200,200
0,h,25,2255,500,1400,100,200,200
0,h,26,2255,500,1400,100,200,200
0,h,27,2255,500,1400,100,200,200
0,h,28,2255,500,1400,100,200,200
0,h,29,2255,500,1400,100,200,200
0,h,30,2255,500,1400,100,200,200
0,h,31,2255,500,1400,100,200,200
0,h,32,2255,500,1400,100,200,200
0,h,33,2255,500,1400,100,200,200
0,h,34,2255,500,1400,100,200,200
0,h,35,2255,500,1400,100,200,200
0,h,36,2255,500,1400,100,200,200
0,h,37,2255,500,1400,100,200,200
0,h,38,2255,500,1400,100,200,200
0,h,39,2255,500,1400,100,200,200
0,h,40,2255,500,1400,100,200,200
0,h,41,2255,500,1400,100,200,200
0,h,42,2255,500,1400,100,200,200
0,h,43,2255,500,1400,100,200,200
0,h,44,2255,500,1400,100,200,200
0,h,45,2255,500,1400,100,200,200
0,h,46,2255,500,1400,100,200,200
0,h,47,2255,500,1400,100,200,200
0,h,48,2255,500,1400,100,200,200
0,h,49,2255,500,1400,100,200,200
0,h,50,2255,500,1400,100,200,200
0,h,51,2255,500,1400,100,200,200
0,h,52,2255,500,1400,100,200,200
0,h,53,2255,500,1400,100,200,200
0,h,54,2255,500,1400,100,200,200
0,h,55,2255,500,1400,100,200,200
0,h,56,2255,500,1400,100,200,200
0,h,57,2255,500,1400,100,200,200
0,h,58,2255,500,1400,100,200,200
0,h,59,2255,500,1400,100,200,200
0,h,60,2255,500,1400,100,200,200
0,h,61,2255,500,1400,100,200,200
0,h,62,2255,500,1400,100,200,200
0,h,63,2255,500,1400,100,200,200
1,l,0,2255,500,1400,100,200,200
1,l,1,2255,500,1400,100,200,200
1,l,2,2255,500,1400,100,200,200
1,l,3,2255,500,1400,100,200,200
1,l,4,2255,500,1400,100,200,200
1,l,5,2255,500,1400,100,200,200
1,l,6,2255,500,1400,100,200,200
1,l,7,2255,500,1400,100,200,200
1,l,8,2255,500,1400,100,200,200
1,l,9,2255,500,1400,100,200,200
1,l,10,2255,500,1400,100,200,200
1,l,11,2255,500,1400,100,200,200
1,l,12,2255,500,1400,100,200,200
1,l,13,2255,500,1400,100,200,200
1,l,14,2255,500,1400,100,200,200
1,l,15,2255,500,1400,100,200,200
1,l,16,2255,500,1400,100,200,200
1,l,17,2255,500,1400,100,200,200
1,l,18,2255,500,1400,100,200,200
1,l,19,2255,500,1400,100,200,200
1,l,20,2255,500,1400,100,200,200
1,l,21,2255,500,1400,100,200,200
1,l,22,2255,500,1400,100,200,200
1,l,23,2255,500,1400,100,200,200
1,l,24,2255,500,1400,100,200,200
1,l,25,2255,500,1400,100,200,200
1,l,26,2255,500,1400,100,200,200
1,l,27,2255,500,1400,100,200,200
1,l,28,2255,500,1400,100,200,200
1,l,29,2255,500,1400,100,200,200
